Timestamp,Class,Confidence,BBox
2025-12-09 17:50:38.487212,wheel_handle_valve,0.31,"[413.5209045410156, 563.0106201171875, 590.6447143554688, 676.6734008789062]"
2025-12-09 17:50:38.902819,wheel_handle_valve,0.39,"[411.96209716796875, 563.476806640625, 589.74609375, 676.7633666992188]"
2025-12-09 17:50:39.318454,wheel_handle_valve,0.42,"[412.00006103515625, 564.2664794921875, 589.2708740234375, 676.7022094726562]"
2025-12-09 17:50:39.318454,wheel_handle_valve,0.35,"[357.6228942871094, 460.8184509277344, 490.2411193847656, 567.5206298828125]"
2025-12-09 17:50:40.090805,wheel_handle_valve,0.36,"[419.8793029785156, 564.3311767578125, 587.9241943359375, 676.5244140625]"
2025-12-09 17:50:40.489063,wheel_handle_valve,0.33,"[414.0104064941406, 565.0772705078125, 587.835205078125, 676.7675170898438]"
2025-12-09 17:50:40.880375,wheel_handle_valve,0.29,"[416.7608337402344, 563.9268188476562, 587.85498046875, 676.9383544921875]"
2025-12-09 17:50:41.252605,wheel_handle_valve,0.28,"[424.9371643066406, 563.7747192382812, 588.4986572265625, 677.6069946289062]"
2025-12-09 17:50:42.060973,wheel_handle_valve,0.25,"[428.55511474609375, 560.6600341796875, 589.57177734375, 677.9011840820312]"
2025-12-09 17:50:42.468422,wheel_handle_valve,0.38,"[420.6146545410156, 560.7504272460938, 589.8142700195312, 677.8709106445312]"
2025-12-09 17:50:42.838681,wheel_handle_valve,0.26,"[416.92095947265625, 560.7657470703125, 589.6800537109375, 677.4638061523438]"
2025-12-09 17:50:43.603909,wheel_handle_valve,0.38,"[417.93634033203125, 559.7057495117188, 590.7322387695312, 677.7220458984375]"
2025-12-09 17:50:43.966392,wheel_handle_valve,0.28,"[424.33544921875, 559.616455078125, 589.4669189453125, 678.3245849609375]"
2025-12-09 17:50:45.186182,wheel_handle_valve,0.33,"[419.09222412109375, 560.4959106445312, 589.6382446289062, 678.1348876953125]"
2025-12-09 17:50:45.570590,wheel_handle_valve,0.33,"[436.69317626953125, 558.4281005859375, 590.799560546875, 677.5133666992188]"
2025-12-09 17:50:52.426846,wheel_handle_valve,0.27,"[413.1543884277344, 559.8748779296875, 588.5580444335938, 678.0342407226562]"
2025-12-09 17:50:58.852640,wheel_handle_valve,0.29,"[414.002685546875, 560.5960083007812, 587.2380981445312, 675.6128540039062]"
2025-12-09 17:51:16.152415,wheel_handle_valve,0.32,"[335.6188049316406, 174.4224395751953, 665.1895751953125, 478.60955810546875]"
2025-12-09 17:51:17.849089,lever_handle_valve,0.31,"[32.230491638183594, 548.0902709960938, 355.70745849609375, 710.1658935546875]"
2025-12-09 17:51:58.567424,lever_handle_valve,0.27,"[202.98779296875, 237.8821258544922, 496.3932189941406, 655.0938720703125]"
2025-12-09 17:53:04.253796,lever_handle_valve,0.26,"[161.7846221923828, 199.8176727294922, 526.0247802734375, 581.9332275390625]"
2025-12-09 17:53:05.009505,lever_handle_valve,0.37,"[9.560595512390137, 194.5679168701172, 526.7913208007812, 616.0772705078125]"
2025-12-09 17:53:05.412710,lever_handle_valve,0.34,"[154.5880584716797, 177.56964111328125, 527.0662841796875, 612.8355712890625]"
2025-12-09 17:53:18.164414,wheel_handle_valve,0.32,"[203.218994140625, 180.94192504882812, 539.7073974609375, 618.8469848632812]"
2025-12-09 17:54:00.319608,lever_handle_valve,0.37,"[209.9135284423828, 203.04263305664062, 508.5191955566406, 614.3838500976562]"
2025-12-09 17:55:31.390555,wheel_handle_valve,0.38,"[695.5032958984375, 438.7005920410156, 864.958984375, 648.9444580078125]"
2025-12-09 17:56:26.088588,lever_handle_valve,0.27,"[679.8811645507812, 512.8394775390625, 839.2238159179688, 587.404296875]"
2025-12-09 17:56:34.608028,wheel_handle_valve,0.33,"[36.213645935058594, 140.6159210205078, 476.0330505371094, 462.7188415527344]"
2025-12-09 17:56:39.466323,wheel_handle_valve,0.33,"[28.016796112060547, 195.8317413330078, 410.30682373046875, 449.49798583984375]"
2025-12-09 17:56:39.946506,wheel_handle_valve,0.47,"[33.454307556152344, 195.3851318359375, 426.26568603515625, 536.2946166992188]"
2025-12-09 17:56:40.429559,wheel_handle_valve,0.31,"[4.538842678070068, 165.9853973388672, 427.103759765625, 474.95916748046875]"
2025-12-09 17:56:56.923116,wheel_handle_valve,0.40,"[0.0, 202.5629425048828, 395.00689697265625, 508.8519592285156]"
2025-12-09 17:58:40.302584,wheel_handle_valve,0.46,"[15.837865829467773, 184.44461059570312, 439.1944274902344, 543.9434814453125]"
2025-12-09 18:01:20.239332,wheel_handle_valve,0.29,"[239.4652862548828, 189.11849975585938, 619.4943237304688, 437.64453125]"
2025-12-09 18:01:22.650164,wheel_handle_valve,0.64,"[2.6671142578125, 184.50711059570312, 409.8583068847656, 501.25885009765625]"
2025-12-09 18:01:25.061740,wheel_handle_valve,0.30,"[169.46214294433594, 186.495361328125, 473.41717529296875, 474.9297790527344]"
2025-12-09 18:01:27.465536,lever_handle_valve,0.26,"[0.28712159395217896, 233.02359008789062, 431.72747802734375, 475.47552490234375]"
2025-12-09 18:03:39.284040,wheel_handle_valve,0.31,"[750.9686279296875, 422.62493896484375, 883.8521728515625, 519.3990478515625]"
2025-12-09 18:04:18.851299,lever_handle_valve,0.25,"[31.439403533935547, 582.1285400390625, 339.909912109375, 707.3687744140625]"
2025-12-09 18:04:20.299346,lever_handle_valve,0.44,"[23.883472442626953, 585.3812866210938, 340.07916259765625, 708.4556884765625]"
2025-12-09 18:04:26.081336,lever_handle_valve,0.25,"[33.00678634643555, 581.8452758789062, 337.209228515625, 709.5372924804688]"
2025-12-09 18:06:26.298012,lever_handle_valve,0.26,"[70.64314270019531, 200.9678192138672, 747.4563598632812, 622.75732421875]"
2025-12-09 18:07:01.079080,lever_handle_valve,0.35,"[252.84066772460938, 237.23678588867188, 408.6744079589844, 460.073486328125]"
2025-12-09 18:07:52.318941,lever_handle_valve,0.28,"[966.9456176757812, 456.84320068359375, 1195.46142578125, 519.1239624023438]"
2025-12-09 18:09:20.338051,wheel_handle_valve,0.60,"[252.48031616210938, 235.6903076171875, 393.68133544921875, 433.1781311035156]"
2025-12-09 18:09:37.837535,lever_handle_valve,0.59,"[857.3033447265625, 246.58602905273438, 1003.0472412109375, 574.5972900390625]"
