timestamp,total,cars,motorcycles,buses,trucks,avg_confidence
2026-02-10T21:25:40.028206,3,1,0,0,2,0.58
2026-02-10T21:25:44.834450,3,1,0,0,2,0.58
2026-02-10T21:25:49.530634,2,1,0,0,1,0.79
2026-02-10T21:25:54.180820,3,1,0,0,2,0.56
2026-02-10T21:25:59.030768,3,1,0,0,2,0.56
2026-02-10T21:26:03.680818,2,1,0,0,1,0.76
2026-02-10T21:26:08.528017,2,1,0,0,1,0.79
2026-02-10T21:26:13.278953,3,1,0,0,2,0.54
2026-02-10T21:26:17.931205,2,1,0,0,1,0.82
2026-02-10T21:26:22.695353,3,1,0,0,2,0.61
2026-02-10T21:26:27.328792,3,1,0,0,2,0.58
2026-02-10T21:26:31.929791,3,1,0,0,2,0.54
2026-02-10T21:26:36.426979,3,1,0,0,2,0.57
2026-02-10T21:26:41.646381,2,1,0,0,1,0.82
2026-02-10T21:26:46.478694,3,1,0,0,2,0.6
2026-02-10T21:26:51.077770,3,1,0,0,2,0.55
2026-02-10T21:26:56.078985,3,1,0,0,2,0.6
2026-02-10T21:27:01.178096,3,1,0,0,2,0.56
2026-02-10T21:27:05.827930,2,1,0,0,1,0.79
2026-02-10T21:27:10.679545,4,1,0,0,3,0.49
2026-02-10T21:27:15.528181,2,1,0,0,1,0.81
2026-02-10T21:27:20.079463,3,1,0,0,2,0.56
2026-02-10T21:27:24.536136,2,1,0,0,1,0.78
2026-02-10T21:27:29.179467,3,1,0,0,2,0.59
2026-02-10T21:27:33.928656,3,1,0,0,2,0.53
2026-02-10T21:27:38.628199,2,1,0,0,1,0.76
2026-02-10T21:27:43.528581,4,1,0,0,3,0.46
2026-02-10T21:27:48.032917,2,1,0,0,1,0.85
2026-02-10T21:27:52.861061,3,1,0,0,2,0.56
2026-02-10T21:27:57.476450,2,1,0,0,1,0.81
2026-02-10T21:28:02.276378,4,1,0,0,3,0.53
2026-02-10T21:28:06.832108,3,1,0,0,2,0.57
2026-02-10T21:28:11.475975,2,1,0,0,1,0.75
2026-02-10T21:28:16.328391,2,1,0,0,1,0.76
2026-02-10T21:28:20.740616,4,1,0,0,3,0.49
2026-02-10T21:28:25.626671,2,1,0,0,1,0.82
2026-02-10T21:28:30.312510,2,1,0,0,1,0.73
2026-02-10T21:28:34.941821,3,1,0,0,2,0.61
2026-02-10T21:28:40.181360,2,1,0,0,1,0.76
2026-02-10T21:28:44.827593,3,1,0,0,2,0.59
2026-02-10T21:28:49.326686,2,1,0,0,1,0.78
2026-02-10T21:28:53.830172,2,1,0,0,1,0.76
2026-02-10T21:28:58.325110,3,1,0,0,2,0.58
2026-02-10T21:29:03.155526,3,1,0,0,2,0.58
2026-02-10T21:29:07.928259,3,1,0,0,2,0.53
2026-02-10T21:29:12.627160,3,1,0,0,2,0.56
2026-02-10T21:29:17.277785,3,1,0,0,2,0.57
2026-02-10T21:29:21.888205,3,1,0,0,2,0.64
2026-02-10T21:29:26.691163,2,1,0,0,1,0.76
2026-02-10T21:29:31.474823,3,1,0,0,2,0.57
2026-02-10T21:29:36.176920,3,1,0,0,2,0.56
2026-02-10T21:29:41.325158,3,1,0,0,2,0.65
2026-02-10T21:29:46.124627,3,1,0,0,2,0.56
2026-02-10T21:29:50.834093,3,1,0,0,2,0.59
2026-02-10T21:29:55.176809,2,1,0,0,1,0.75
2026-02-10T21:30:00.028592,3,1,0,0,2,0.55
2026-02-10T21:30:04.526836,2,1,0,0,1,0.68
2026-02-10T21:30:09.483101,3,1,0,0,2,0.63
2026-02-10T21:30:14.128937,2,1,0,0,1,0.78
2026-02-10T21:30:19.215004,4,1,0,0,3,0.49
2026-02-10T21:30:23.875274,3,1,0,0,2,0.58
2026-02-10T21:30:28.725024,2,1,0,0,1,0.75
2026-02-10T21:30:33.277514,4,1,0,0,3,0.47
2026-02-10T21:30:38.176819,2,1,0,0,1,0.71
2026-02-10T21:30:43.024000,2,1,0,0,1,0.82
2026-02-10T21:30:47.737810,2,1,0,0,1,0.78
2026-02-10T21:30:52.274775,3,1,0,0,2,0.56
2026-02-10T21:30:57.174498,2,1,0,0,1,0.81
2026-02-10T21:31:02.074705,2,1,0,0,1,0.75
2026-02-10T21:31:06.874846,4,1,0,0,3,0.51
2026-02-10T21:31:11.285656,2,1,0,0,1,0.8
2026-02-10T21:31:15.874430,2,1,0,0,1,0.83
2026-02-10T21:31:20.726385,2,1,0,0,1,0.86
2026-02-10T21:31:25.700843,2,1,0,0,1,0.79
2026-02-10T21:31:30.723411,2,1,0,0,1,0.73
2026-02-10T21:31:35.296454,3,1,0,0,2,0.53
2026-02-10T21:31:40.023365,2,1,0,0,1,0.74
2026-02-10T21:31:44.941883,3,1,0,0,2,0.56
2026-02-10T21:31:49.679128,3,1,0,0,2,0.56
